figure_number,figure_label,figure_topic,data_repository,data_url,record_filter,plotted_columns
3.1,fig:ctsemo-benchmark-final-pof,Final two-dimensional feasibility-score fields,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_01_02_final_feasibility_fields.csv,"record_type=grid for fields and record_type=observation for markers","normalized_x1; normalized_x2; objective_y1; objective_y2; pof_score; exact_feasible; observed_feasible"
3.2,fig:ctsemo-benchmark-classification,Final two-dimensional classification outcomes,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_01_02_final_feasibility_fields.csv,"record_type=grid","normalized_x1; normalized_x2; exact_feasible; predicted_feasible_at_half; error_class"
3.3,fig:ctsemo-cossin1-learning,COSSIN1 feasibility-field learning,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_03_cossin1_learning.csv,"record_type=grid for fields and record_type=observation for markers","total_evaluations; normalized_x1; normalized_x2; objective_y1; objective_y2; pof_score; exact_feasible; observed_feasible"
3.4,fig:ctsemo-cossin2-learning,COSSIN2 feasibility-field learning,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_04_cossin2_learning.csv,"record_type=grid for fields and record_type=observation for markers","total_evaluations; normalized_x1; normalized_x2; objective_y1; objective_y2; pof_score; exact_feasible; observed_feasible"
3.5,fig:ctsemo-benchmark-acquisition,COSSIN2 iteration-20 acquisition decomposition,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_05_cossin2_iteration20_acquisition.csv,"record_type=grid for fields; observation for markers; selected_point for star","normalized_x1; normalized_x2; objective_y1; objective_y2; pof_score; sampled_hvi; pof_times_sampled_hvi; final_acquisition; exact_feasible; observed_feasible; is_selected"
3.6,fig:ctsemo-wb150-final-front,WB150 replicate-2 final Pareto frame,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_06_wb150_rep02_evaluations.csv,all rows,"objective_f1_fabrication_cost; objective_f2_end_deflection; feasible; final_pareto; is_evaluation_150; plot_class"
3.7,fig:ctsemo-highdim-hv-histories,Higher-dimensional hypervolume histories,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_07_highdim_hv_histories.csv,one row per problem and sequential-evaluation count,"sequential_evaluations; seed_1_normalized_hv; seed_2_normalized_hv; seed_3_normalized_hv; seed_4_normalized_hv; seed_5_normalized_hv; median_normalized_hv"
3.8,fig:ctsemo-wb150-solver-front-comparison,Historical WB150 solver-owned fronts,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_08_wb150_solver_fronts.csv,group by solver_id and sort by pareto_point_index,"objective_f1_fabrication_cost; objective_f2_end_deflection; retained_evaluations; true_oracle_calls"
3.9,fig:ctsemo-wb150-hvi-h,Conditional HVI versus weld thickness,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_09_12_wb150_conditional_hvi.csv,input_index=1,"survival-grid columns; profile-station columns; selected-point metadata"
3.10,fig:ctsemo-wb150-hvi-l,Conditional HVI versus weld length,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_09_12_wb150_conditional_hvi.csv,input_index=2,"survival-grid columns; profile-station columns; selected-point metadata"
3.11,fig:ctsemo-wb150-hvi-t,Conditional HVI versus beam depth,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_09_12_wb150_conditional_hvi.csv,input_index=3,"survival-grid columns; profile-station columns; selected-point metadata"
3.12,fig:ctsemo-wb150-hvi-b,Conditional HVI versus beam thickness,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_09_12_wb150_conditional_hvi.csv,input_index=4,"survival-grid columns; profile-station columns; selected-point metadata"
3.13,fig:ctsemo-wb150-hvi-pairwise,WB150 pairwise sampled-HVI slices,aeroverify-thesis-artifacts,https://github.com/globaswu/aeroverify-thesis-artifacts/blob/thesis/data/figures/chapter03/fig03_13_wb150_hvi_pairwise.csv,group by PairId,"GridA; GridB; x1; x2; x3; x4; HVI_draw"
