figure,figure_title,data_path,data_role,file_row_count,rows_used,plotted_columns,source_record,status
5.1,Observed lattice mass-compliance trade-offs,data/fcc/evaluations_cases001_071.csv,FCC evaluated points filtered to cases 1-51,71,51,"case_id,mass_kg,compliance_Nm,feasible",authoritative lattice evaluation record,available
5.1,Observed lattice mass-compliance trade-offs,data/bcc/evaluations_cases001_071.csv,BCC evaluated points filtered to cases 1-51,71,51,"case_id,mass_kg,compliance_Nm,feasible",authoritative lattice evaluation record,available
5.1,Observed lattice mass-compliance trade-offs,data/sc/evaluations_cases001_071.csv,SC evaluated points filtered to cases 1-51,71,51,"case_id,mass_kg,compliance_Nm,feasible",authoritative lattice evaluation record,available
5.1,Observed lattice mass-compliance trade-offs,data/figures/chapter05/figure_5_1_pareto_membership.csv,topology and pooled Pareto membership,153,153,"topology,case_id,topology_pareto_case051,pooled_pareto_case051",authoritative lattice comparison,available
5.2,Completed FCC continuation Pareto record,data/fcc/evaluations_cases001_071.csv,evaluated points and Pareto membership,71,71,"case_id,mass_kg,compliance_Nm,feasible,pareto_case071,evaluation_period",FCC continuation record,available
5.3,Completed FCC feasibility-score map,data/figures/chapter05/figures_5_3_and_5_5_fcc_feasibility_score_grids.csv,background score field,160801,160801,"a_m,t1_over_a,score_after_observed",FCC retained plot-data grid,available
5.3,Completed FCC feasibility-score map,data/figures/chapter05/figures_5_3_and_5_5_fcc_points.csv,evaluated-design overlays,71,71,"a_m,t1_over_a,feasible_observed,pareto_case071,plot_group_case071",FCC continuation plot data,available
5.4,FCC observed stress-failure mechanisms,data/figures/chapter05/figure_5_4_fcc_failure_mechanisms.csv,evaluated-design classifications,71,71,"case_id,a_m,t1_over_a,plot_category,pareto_case071,skin_max_MPa,lattice_max_MPa",FCC infeasibility audit,available
5.5,Hypothetical FCC feasibility-label sensitivity,data/figures/chapter05/figures_5_3_and_5_5_fcc_feasibility_score_grids.csv,before and after score fields,160801,160801,"a_m,t1_over_a,score_before_cases_8_29_feasible,score_after_cases_8_29_feasible",FCC label-sensitivity plot data,available
5.5,Hypothetical FCC feasibility-label sensitivity,data/figures/chapter05/figures_5_3_and_5_5_fcc_points.csv,hypothetical labels and point categories,71,71,"case_id,constraint_observed,constraint_hypothetical,hypothetically_flipped,continuation_case",FCC label-sensitivity plot data,available
5.6,FCC case 67 point-3 MKAERO1 sensitivity,data/figures/chapter05/figure_5_6_5_8_case067_flutter_histories.csv,point-3 damping histories,740,37,"point,velocity_mps,four_point_damping_g,eighteen_point_damping_g",case-67 SOL 145 comparison,available
5.7,FCC case 67 SOL 103 mode-3 multiview,data/figures/chapter05/figure_5_7_case067_mode3_nodes_manifest.csv,manifest for eight ordered portable node-cloud CSV shards,8,531682,"part_file,row_count,byte_size,sha256",retained nTop modal cache matched to GRID card order,available
5.8,FCC case 67 all-point MKAERO1 sensitivity,data/figures/chapter05/figure_5_6_5_8_case067_flutter_histories.csv,all 20 damping histories,740,740,"point,velocity_mps,four_point_damping_g,eighteen_point_damping_g",case-67 SOL 145 comparison,available
5.9,Completed BCC continuation Pareto front,data/bcc/evaluations_cases001_071.csv,evaluated points and Pareto membership,71,71,"case_id,mass_kg,compliance_Nm,feasible,pareto_case071",BCC continuation record,available
5.10,Completed BCC feasibility-score map,data/figures/chapter05/figure_5_10_bcc_feasibility_score_grid.csv,background score field,160801,160801,"a_index,t1_over_a_index,a_m,t1_over_a,feasibility_score",BCC retained plot-data grid,available
5.10,Completed BCC feasibility-score map,data/bcc/evaluations_cases001_071.csv,evaluated-design overlays,71,71,"a_m,t1_over_a,feasible,pareto_case071,evaluation_period",BCC continuation record,available
5.11,BCC observed stress-failure mechanisms,data/figures/chapter05/figure_5_11_bcc_failure_mechanisms.csv,evaluated-design classifications,71,71,"case,a_m,t1_over_a,plot_category,pareto_optimal,skin_max_mpa,lattice_max_mpa",BCC infeasibility audit,available
5.12,BCC upper shell-stress tails,data/figures/chapter05/figure_5_12_bcc_shell_stress_rank_tails.csv,ranked stress tails for six cases,6000,6000,"case,rank_descending,shell_von_mises_stress_mpa,stress_limit_mpa",BCC compact shell-stress audit,available
5.13,BCC localization of the highest shell stresses,data/figures/chapter05/figure_5_13_bcc_root_hotspots.csv,top-50 element coordinates and stresses for six cases,300,300,"case,rank_descending,element_id,x_m,span_y_mm,z_m,shell_von_mises_stress_mpa,is_critical_element",BCC compact shell-stress audit,available
5.14,Completed SC continuation Pareto front,data/sc/evaluations_cases001_071.csv,evaluated points and Pareto membership,71,71,"case_id,mass_kg,compliance_Nm,feasible,pareto_case071",SC continuation record,available
5.15,Completed SC feasibility-score map,data/figures/chapter05/figure_5_15_sc_feasibility_score_grid.csv,background score field,160801,160801,"a_index,t1_over_a_index,a_m,t1_over_a,binary_feasibility_score,raw_score",SC retained plot-data grid,available
5.15,Completed SC feasibility-score map,data/sc/evaluations_cases001_071.csv,evaluated-design overlays,71,71,"a_m,t1_over_a,feasible,pareto_case071,evaluation_period",SC continuation record,available
5.16,SC observed stress-failure mechanisms,data/figures/chapter05/figure_5_16_sc_failure_mechanisms.csv,evaluated-design classifications,71,71,"case,a_m,t1_over_a,plot_category,pareto_optimal,skin_max_mpa,lattice_max_mpa",SC infeasibility audit,available
5.17,Material allocation and stress reserve of representative cells,data/figures/chapter05/figure_5_17_lattice_material_stress_representatives.csv,representative mass components and maximum stress,3,3,"group,case,skin_mass_single_kg,lattice_mass_single_kg,max_vm_MPa",authoritative lattice representatives,available
5.18,Final planform feasibility-score field,data/figures/chapter05/figure_5_18_planform_feasibility_score_grid.csv,background score field,58081,58081,"aspect_ratio_index,taper_ratio_index,aspect_ratio,taper_ratio,binary_feasibility_score,raw_score",retained 50-evaluation planform reconstruction,available
5.18,Final planform feasibility-score field,data/planform/evaluations_cases001_050.csv,evaluated-design overlays,50,50,"case,AR,taper_ratio,feasible,final_pareto,period",completed planform record,available
5.19,Observed planform objective trade-off,data/planform/evaluations_cases001_050.csv,evaluated objective points and final Pareto membership,50,50,"case,CDitrim,Ctrim_Nm,feasible,final_pareto,period",completed planform record,available
5.20,Observed structural and objective trends,data/planform/evaluations_cases001_050.csv,four evaluated scatter panels,50,50,"case,AR,CDitrim,Ctrim_Nm,max_screening_stress_mpa,modeled_half_wing_mass_kg,feasible,final_pareto",completed planform record,available
5.21,Taper-ratio theory and observed-result consistency checks,data/figures/chapter05/figure_5_21_planform_taper_observed_points.csv,evaluated planform points,40,40,"Case,AR,TaperRatio,CDitrim,Feasible,Pareto,TorsionCorrectedE,TaperOnlyCDiPenaltyPct",evaluated planform taper analysis,available
5.21,Taper-ratio theory and observed-result consistency checks,data/figures/chapter05/figure_5_21_planform_taper_llt_reference_curves.csv,rigid lifting-line reference sweep,15025,15025,"AR,TaperRatio,RigidSpanEfficiency,TaperOnlyCDiPenaltyPct,OptimumTaperAtSameAR",rigid lifting-line reference sweep,available
