figure_number,thesis_label,data_path,row_count,columns,relationship_to_figure,source_provenance
6.1,fig:chap6-optimization-progress,data/figures/chapter06/figure_6_01_optimization_progress.csv,100,case_id; phase; box_restricted_hypervolume; normalized_hypervolume; feasible; final_pareto; phase_size; phase_feasible_count; phase_final_pareto_count; phase_feasible_share_percent; phase_final_pareto_share_percent; reference_cditrim; reference_ctrim; case30_hypervolume,Exact plotted prefix history and the values underlying both phase-yield bars.,Deterministic reconstruction from the finalized 100-case public campaign table using the published two-objective box-hypervolume rule.
6.2,fig:chap6-observed-pareto,data/multiinput/evaluations_cases001_100.csv,100,Case; Source; CDitrim; Ctrim; Feasible; Pareto,Exact objective-space coordinates and plotting classes for all 100 cases; the refined-mesh marker is case 65 and cases 71-100.,Finalized public campaign table generated from the case-indexed optimization ledger and compact response records.
6.3,fig:chap6-feasibility,data/figures/chapter06/figure_6_03_feasibility_mechanisms.csv,100,case_id; phase; feasible; final_pareto; failure_mechanism; shell_vm_utilization; cbeam_normal_utilization,Exact stress-map coordinates and outcome classes; bar counts are direct group counts.,"Deterministic projection of stresses, limits, feasibility labels, and failure reasons from the finalized public campaign table."
6.4,fig:chap6-pairwise-domain,data/figures/chapter06/figure_6_04_normalized_design_space.csv,100,case_id; phase; feasible; final_pareto; normalized_ar; normalized_lambda; normalized_r1; normalized_r2,Exact normalized coordinates used in all six pairwise panels.,Deterministic min-max normalization of the finalized public design inputs using the stated design bounds.
6.5,fig:chap6-hvi-ar,data/figures/chapter06/figure_6_05_hvi_aspect_ratio.csv,121,input_variable; input_physical; positive_hvi_fraction; mean_normalized_hvi; median_normalized_hvi; p90_normalized_hvi; p99_normalized_hvi; sampled_profile_maximum_normalized_hvi; selected_input_physical; selected_hvi_normalized; nuisance_sample_count; evaluated_count; selected_case,"Exact conditional profiles, quantiles, support curve, and selected-design marker.",Compact reduction of the frozen sampled-HVI field before evaluation 100.
6.5,fig:chap6-hvi-ar,data/figures/chapter06/figure_6_05_hvi_survival.csv,21901,input_variable; input_physical; normalized_hvi_threshold; conditional_exceedance_probability; display_log10_exceedance_probability,Exact 181-by-121 survival field and displayed log-transformed heat-map values.,Compact reduction of the frozen sampled-HVI field before evaluation 100.
6.6,fig:chap6-hvi-lambda,data/figures/chapter06/figure_6_06_hvi_taper_ratio.csv,121,input_variable; input_physical; positive_hvi_fraction; mean_normalized_hvi; median_normalized_hvi; p90_normalized_hvi; p99_normalized_hvi; sampled_profile_maximum_normalized_hvi; selected_input_physical; selected_hvi_normalized; nuisance_sample_count; evaluated_count; selected_case,"Exact conditional profiles, quantiles, support curve, and selected-design marker.",Compact reduction of the frozen sampled-HVI field before evaluation 100.
6.6,fig:chap6-hvi-lambda,data/figures/chapter06/figure_6_06_hvi_survival.csv,21901,input_variable; input_physical; normalized_hvi_threshold; conditional_exceedance_probability; display_log10_exceedance_probability,Exact 181-by-121 survival field and displayed log-transformed heat-map values.,Compact reduction of the frozen sampled-HVI field before evaluation 100.
6.7,fig:chap6-hvi-r1,data/figures/chapter06/figure_6_07_hvi_primary_member_ratio.csv,121,input_variable; input_physical; positive_hvi_fraction; mean_normalized_hvi; median_normalized_hvi; p90_normalized_hvi; p99_normalized_hvi; sampled_profile_maximum_normalized_hvi; selected_input_physical; selected_hvi_normalized; nuisance_sample_count; evaluated_count; selected_case,"Exact conditional profiles, quantiles, support curve, and selected-design marker.",Compact reduction of the frozen sampled-HVI field before evaluation 100.
6.7,fig:chap6-hvi-r1,data/figures/chapter06/figure_6_07_hvi_survival.csv,21901,input_variable; input_physical; normalized_hvi_threshold; conditional_exceedance_probability; display_log10_exceedance_probability,Exact 181-by-121 survival field and displayed log-transformed heat-map values.,Compact reduction of the frozen sampled-HVI field before evaluation 100.
6.8,fig:chap6-hvi-r2,data/figures/chapter06/figure_6_08_hvi_secondary_member_ratio.csv,121,input_variable; input_physical; positive_hvi_fraction; mean_normalized_hvi; median_normalized_hvi; p90_normalized_hvi; p99_normalized_hvi; sampled_profile_maximum_normalized_hvi; selected_input_physical; selected_hvi_normalized; nuisance_sample_count; evaluated_count; selected_case,"Exact conditional profiles, quantiles, support curve, and selected-design marker.",Compact reduction of the frozen sampled-HVI field before evaluation 100.
6.8,fig:chap6-hvi-r2,data/figures/chapter06/figure_6_08_hvi_survival.csv,21901,input_variable; input_physical; normalized_hvi_threshold; conditional_exceedance_probability; display_log10_exceedance_probability,Exact 181-by-121 survival field and displayed log-transformed heat-map values.,Compact reduction of the frozen sampled-HVI field before evaluation 100.
6.9,fig:chap6-parallel-coordinates,data/multiinput/evaluations_cases001_100.csv,100,Case; AR; lambda; r1; r2; WingMassTotal; CDitrim; Ctrim; Feasible; Pareto,Exact seven-axis values and plotting classes; filter Feasible=True to obtain the 70 displayed polylines.,Finalized public campaign table generated from the case-indexed optimization ledger and compact response records.
6.10,fig:chap6-mass-compliance,data/multiinput/evaluations_cases001_100.csv,100,Case; AR; lambda; r1; r2; WingMassTotal; Ctrim; Feasible; Pareto,Exact mass-compliance coordinates and the four initial corner groups.,Finalized public campaign table generated from the case-indexed optimization ledger and compact response records.
6.11,fig:chap6-static-decomposition,data/figures/chapter06/figure_6_11_llt_curves.csv,2005,case_id; normalized_semispan; lift_per_unit_span_N_per_m; outboard_bending_moment_Nm,"Exact curves for panels A and B for MI4, MI37, MI64, MI65, and MI99.",Direct compact CSV output from representative-case post-processing.
6.11,fig:chap6-static-decomposition,data/figures/chapter06/figure_6_11_trim_displacement_curves.csv,2505,case_id; normalized_semispan; trim_twist_deg; trim_vertical_displacement_m,"Exact curves for panels C and D for MI4, MI37, MI64, MI65, and MI99.",Direct compact CSV output from representative-case post-processing.
6.11,fig:chap6-static-decomposition,data/representative_physics/representative_physics_cases004_037_064_065_099.csv,5,Case; AspectRatio; TaperRatio; Ctrim_Nm; ExactTrimCDi; LLTTrimAoA_deg; Sol144TrimAoA_deg; PeakLiftPerSpan_N_m; RootBendingMoment_Nm; MaxAbsTrimTwist_deg; MaxAbsTrimVerticalDisplacement_m,Case-level summary and extrema accompanying the plotted curves.,Final path-free representative-case summary.
6.12,fig:chap6-dynamic-decomposition,data/figures/chapter06/figure_6_12_trim_stress_curves.csv,1400,case_id; stress_component; normalized_semispan; trim_stress_MPa,Exact shell and CBEAM stress curves for panels A and B.,Direct compact CSV output from representative-case post-processing.
6.12,fig:chap6-dynamic-decomposition,data/figures/chapter06/figure_6_12_strain_energy_curves.csv,45,case_id; angle_of_attack_deg; half_wing_strain_energy_Nm,Exact nine-angle strain-energy curves for panel C.,Direct compact CSV output from representative-case post-processing.
6.12,fig:chap6-dynamic-decomposition,data/figures/chapter06/figure_6_12_flutter_envelope_curves.csv,185,case_id; velocity_m_per_s; maximum_filtered_damping; within_30_150_m_per_s_screen,Exact conservative maximum-filtered-damping curves for panel D.,Direct compact CSV output from representative-case post-processing.
6.12,fig:chap6-dynamic-decomposition,data/representative_physics/representative_physics_cases004_037_064_065_099.csv,5,Case; MaxTrimSkinVM_MPa; MaxTrimCbeamNormalStress_MPa; Mode1Frequency_Hz; MinimumModalFrequency_Hz; MaximumFilteredFlutterDamping,Case-level extrema accompanying the plotted curves.,Final path-free representative-case summary.
